timestamp_ms,signal_mV,normalized_strength,tens_level
24,0.022117717686749055,0.0,0.0
67,0.022007129098315235,0.0,0.0
117,0.02189709345282361,0.0,0.0
167,0.016384757985559426,0.0,0.0
218,0.016302834195631624,0.0,0.0
268,0.01622132002465337,0.0,0.0
319,0.016140213424530078,0.0,0.0
369,0.01605951235740742,0.0,0.0
420,0.010576364795620363,0.0,0.0
470,0.01052348297164219,0.0,0.0
520,0.010470865556783827,0.0,0.0
571,0.01041851122899979,0.0,0.0
621,0.004963568672854826,0.0,0.0
672,0.004938750829490538,0.0,0.0
722,0.004914057075343209,0.0,0.0
772,0.004889486789966587,0.0,0.0
823,0.0048650393560167576,0.0,0.0
873,0.004840714159236715,0.0,0.0
924,0.004816510588440619,0.0,0.0
974,0.00479242803549851,0.0,0.0
1024,0.0047684658953210425,0.0,0.0
1075,0.004744623565844504,0.0,0.0
1125,0.004720900448015387,0.0,0.0
1176,0.01010014594577529,0.0,0.0
1226,0.0100496452160463,0.0,0.0
1276,0.009999396989965936,0.0,0.0
1327,0.009949400005016066,0.0,0.0
1377,0.009899653004990955,0.0,0.0
1428,0.01525300473996597,0.0,0.0
1478,0.01517673971626613,0.0,0.0
1528,0.015100856017684704,0.0,0.0
1579,0.015025351737596221,0.0,0.0
1629,0.02035307497890819,0.0,0.0
1680,0.020251309604013612,0.0,0.0
1730,0.020150053055993523,0.0,0.0
1780,0.020049302790713482,0.0,0.0
1831,0.019949056276759854,0.0,0.0
1881,0.019849310995376054,0.0,0.0
1932,0.01975006444039912,0.0,0.0
1982,0.019651314118197066,0.0,0.0
2032,0.019553057547606063,0.0,0.0
2083,0.019455292259867932,0.0,0.0
2133,0.01935801579856857,0.0,0.0
2184,0.019261225719575756,0.0,0.0
2234,0.01916491959097788,0.0,0.0
2284,0.013666244993022958,0.0,0.0
2335,0.013597913768057782,0.0,0.0
2385,0.01352992419921751,0.0,0.0
2436,0.01346227457822143,0.0,0.0
2486,0.013394963205330228,0.0,0.0
2536,0.007925138389303503,0.0,0.0
2587,0.00788551269735683,0.0,0.0
2637,0.007846085133870018,0.0,0.0
2688,0.0078068547082006355,0.0,0.0
2738,0.00776782043465962,0.0,0.0
2788,0.0023261313324864094,0.0,0.0
2839,0.00231450067582405,0.0,0.0
2889,0.002302928172445051,0.0,0.0
2940,0.0022914135315828085,0.0,0.0
2990,0.00227995646392497,0.0,0.0
3040,0.002268556681605408,0.0,0.0
3091,0.002257213898197429,0.0,0.0
3141,0.002245927828706521,0.0,0.0
3192,0.002234698189563101,0.0,0.0
3242,0.00762637469861513,0.0,0.0
3292,0.007588242825121986,0.0,0.0
3343,0.007550301610996351,0.0,0.0
3393,0.0075125501029413115,0.0,0.0
3444,0.012877837352426605,0.0,0.0
3494,0.012813448165664446,0.0,0.0
3552,0.012749380924836132,0.0,0.0
3595,0.012685634020211852,0.0,0.0
3645,0.012622205850110715,0.0,0.0
3696,0.012559094820860163,0.0,0.0
3746,0.017899149346755867,0.0,0.0
3796,0.017809653600022114,0.0,0.0
3847,0.0177206053320219,0.0,0.0
3897,0.017632002305361768,0.0,0.0
3948,0.01754384229383487,0.0,0.0
3998,0.0174561230823657,0.0,0.0
4048,0.01736884246695378,0.0,0.0
4099,0.017281998254619017,0.0,0.0
4149,0.017195588263345836,0.0,0.0
4200,0.017109610322029022,0.0,0.0
4250,0.017024062270418912,0.0,0.0
4300,0.011536091959066758,0.0,0.0
4351,0.011478411499271427,0.0,0.0
4401,0.011421019441775012,0.0,0.0
4452,0.011363914344566005,0.0,0.0
4502,0.011307094772843047,0.0,0.0
4552,0.005847709298978767,0.0,0.0
4603,0.0058184707524837976,0.0,0.0
4653,0.005789378398721353,0.0,0.0
4704,0.005760431506727703,0.0,0.0
4754,0.005731629349193953,0.0,0.0
4804,0.005702971202447839,0.0,0.0
4855,0.0002716063464356478,0.0,0.0
4905,0.00027024831470349114,0.0,0.0
4956,0.00026889707312995824,0.0,0.0
5007,0.00026755258776432696,0.0,0.0
5056,0.0002662148248254837,0.0,0.0
5107,0.00026488375070146046,0.0,0.0
5157,0.0002635593319480458,0.0,0.0
5208,0.0002622415352883218,0.0,0.0
5258,0.005663780327611763,0.0,0.0
5309,0.005635461425973665,0.0,0.0
5368,0.005607284118843667,0.0,0.0
5409,0.005579247698249332,0.0,0.0
5460,0.005551351459757932,0.0,0.0
5510,0.010926444702459032,0.0,0.0
5560,0.010871812478946639,0.0,0.0
5611,0.010817453416551827,0.0,0.0
5661,0.01076336614946903,0.0,0.0
5712,0.01070954931872162,0.0,0.0
5762,0.01605885157212799,0.0,0.0
5813,0.010575707314267305,0.0,0.0
5863,0.01052282877769588,0.0,0.0
5913,0.026678764633807434,0.0,0.0
5964,0.03735107081063846,0.0,0.0
6014,0.01686418454341475,0.0,0.0
6065,0.04379411362069764,0.0,0.0
6115,0.08069040694740581,0.0,0.0
6165,0.027770045087331278,0.0,0.0
6216,0.10203720513810538,0.0,0.0
6266,0.004275719112414703,0.0,0.0
6317,0.006551359483147275,0.0,0.0
6367,0.02589849731426854,0.0,0.0
